Well,Stage #,Bottom Perforation,Top Perforation,XF,HT
Bear Claw 4H (08-740),1,21509,21238,1530,218
Bear Claw 4H (08-740),2,21211,20939,1361,151
Bear Claw 4H (08-740),3,20912,20641,478,154
Bear Claw 4H (08-740),4,20613,20342,1043,178
Bear Claw 4H (08-740),5,20314,20043,1225,137
Bear Claw 4H (08-740),6,20015,19743,1611,132
Bear Claw 4H (08-740),7,19716,19444,1031,206
Bear Claw 4H (08-740),8,19416,19144,1264,171
Bear Claw 4H (08-740),9,19117,18845,900,130
Bear Claw 4H (08-740),10,18817,18545,1858,159
Bear Claw 4H (08-740),11,18518,18245,1871,209
Bear Claw 4H (08-740),12,18218,17946,139,216
Bear Claw 4H (08-740),13,17918,17646,571,145
Bear Claw 4H (08-740),14,17619,17347,353,185
Bear Claw 4H (08-740),15,17319,17047,270,190
Bear Claw 4H (08-740),16,17019,16747,1524,132
Bear Claw 4H (08-740),17,16720,16448,676,211
Bear Claw 4H (08-740),18,16420,16148,1103,188
Bear Claw 4H (08-740),19,16120,15848,276,205
Bear Claw 4H (08-740),20,15820,15548,1695,151
Bear Claw 4H (08-740),21,15520,15248,1197,204
Bear Claw 4H (08-740),22,15220,14948,1589,177
Bear Claw 4H (08-740),23,14920,14648,1301,133
Bear Claw 4H (08-740),24,14621,14348,372,148
Bear Claw 4H (08-740),25,14320,14047,380,208
Bear Claw 4H (08-740),26,14020,13747,692,171
Bear Claw 4H (08-740),27,13719,13447,1802,159
Bear Claw 4H (08-740),28,13419,13146,1910,199
Bear Claw 4H (08-740),29,13119,12846,634,202
Bear Claw 4H (08-740),30,12818,12546,1807,167
Bear Claw 4H (08-740),31,12518,12245,1403,218
Bear Claw 4H (08-740),32,12218,11945,704,165
Bear Claw 4H (08-740),33,11917,11644,1908,137
Bear Claw 4H (08-740),34,11616,11343,1929,186
Bear Claw 4H (08-740),35,11315,11042,1708,189
Bear Claw 4H (08-740),36,11015,10741,1554,196
Bear Claw 4H (08-740),37,10714,10440,809,125
Bear Claw 4H (08-740),38,10413,10139,276,184
Bear Claw 4H (08-740),39,10112,9838,564,145
Bear Claw 4H (08-740),40,9810,9537,1743,168
Bear Claw 4H (08-740),41,9509,9230,1924,161
