X,Y,Z,MD,TVD
2181077.428,504058.71,2027,0,2.27E-13
2181077.482,504058.713,1949.000025,78,77.99997466
2181077.645,504058.722,1871.000203,156,155.9997972
2181077.73,504058.7567,1844.000364,183,182.9996355
2181077.834,504058.8524,1817.00074,210,209.99926
2181077.962,504059.125,1771.001754,256,255.9982458
2181077.962,504059.5125,1725.003413,302,301.996587
2181077.905,504059.9547,1681.5057,345.5,345.4943
2181077.856,504060.4399,1638.008435,389,388.9915647
2181077.803,504061.0265,1593.012305,434,433.9876949
2181077.735,504061.7379,1548.017995,479,478.9820048
2181077.622,504062.5685,1502.525731,524.5,524.4742685
2181077.435,504063.4954,1457.035573,570,569.9644274
2181077.21,504064.607,1408.048715,619,618.9512851
2181077.019,504065.8419,1359.064668,668,667.935332
2181076.843,504067.1606,1311.583317,715.5,715.4166831
2181076.655,504068.603,1264.105612,763,762.8943884
2181076.477,504069.896,1224.126914,803,802.8730857
2181076.273,504071.2415,1184.150079,843,842.8499215
2181076.216,504071.8295,1167.160359,860,859.8396414
2181076.232,504072.4275,1150.170899,877,876.8291005
2181076.255,504074.0651,1102.699201,924.5,924.3007992
2181076.037,504075.6081,1055.224829,972,971.7751709
2181075.629,504077.2228,1008.254439,1019,1018.745561
2181075.07,504079.1066,961.2956204,1066,1065.70438
2181074.576,504081.1531,914.3428652,1113,1112.657135
2181074.364,504083.2558,867.3904807,1160,1159.609519
2181074.199,504084.884,836.1002217,1191.333333,1190.899778
2181073.799,504086.9272,804.8364451,1222.666667,1222.163555
2181073.165,504089.385,773.6064131,1254,1253.393587
2181072.395,504091.529,750.2175498,1277.5,1276.78245
2181071.213,504093.9629,726.8742924,1301,1300.125708
2181069.62,504096.6856,703.5874558,1324.5,1323.412544
2181067.616,504099.6957,680.3678291,1348,1346.632171
2181065.144,504102.864,657.2145503,1371.5,1369.78545
2181062.145,504106.061,634.1274549,1395,1392.872545
2181058.622,504109.285,611.1183292,1418.5,1415.881671
2181054.577,504112.5344,588.1989199,1442,1438.80108
2181050.085,504115.655,565.0877626,1465.75,1461.912237
2181045.313,504118.4237,541.9877086,1489.5,1485.012291
2181040.265,504120.8394,518.9070268,1513.25,1508.092973
2181034.94,504122.9014,495.8539794,1537,1531.146021
2181027.747,504125.1896,465.4437594,1568.333333,1561.556241
2181020.579,504127.081,435.0003614,1599.666667,1591.999639
2181013.437,504128.5752,404.5287246,1631,1622.471275
2181006.084,504129.9902,373.7603786,1662.666667,1653.239621
2180998.434,504131.6166,343.0750141,1694.333333,1683.924986
2180990.488,504133.4542,312.4769093,1726,1714.523091
2180984.287,504134.9307,289.8582297,1749.5,1737.14177
2180977.699,504136.4758,267.3539289,1773,1759.646071
2180970.726,504138.0891,244.9708461,1796.5,1782.029154
2180963.37,504139.7702,222.7157832,1820,1804.284217
2180953.013,504142.1917,192.8891843,1851.666667,1834.110816
2180942.285,504144.8348,163.2131335,1883.333333,1863.786866
2180931.187,504147.6989,133.6938412,1915,1893.306159
2180919.948,504150.751,104.2466806,1946.666667,1922.753319
2180908.795,504153.9583,74.78352151,1978.333333,1952.216478
2180897.727,504157.3208,45.30529463,2010,1981.694705
2180886.887,504160.6028,16.09087232,2041.333333,2010.909128
2180876.185,504163.6405,-13.20056386,2072.666667,2040.200564
2180865.62,504166.4339,-42.56649439,2104,2069.566494
2180855.202,504169.0492,-72.00088221,2135.333333,2099.000882
2180844.936,504171.5526,-101.4985766,2166.666667,2128.498577
2180834.824,504173.944,-131.0583808,2198,2158.058381
2180829.25,504175.2487,-147.5954812,2215.5,2174.595481
2180823.738,504176.554,-164.1534532,2233,2191.153453
2180813.71,504179.0242,-195.1440522,2265.666667,2222.144052
2180804.086,504181.5605,-226.2572114,2298.333333,2253.257211
2180794.867,504184.1623,-257.4876043,2331,2284.487604
2180786.047,504186.7677,-287.7891103,2362.666667,2314.78911
